,SPY US Equity,IWM US Equity,QQQ US Equity,VGK US Equity,EWJ US Equity,EEM US Equity,EFA US Equity,ACWX US Equity,IYR US Equity,GSG US Equity,GLD US Equity,SHY US Equity,IEF US Equity,TLT US Equity,LQD US Equity,HYG US Equity,AGG US Equity
2017-01-31,227.53,135.23,124.57,49.36,50.57,37.34,59.63,41.81,77.04,15.43,115.55,84.54,105.05,120.1,117.35,87.34,108.29
2017-02-28,236.47,137.84,130.02,49.65,51.23,37.99,60.34,42.29,80.41,15.45,119.23,84.52,105.65,121.74,118.58,88.29,108.77
2017-03-31,235.74,137.48,132.38,51.57,51.5,39.39,62.29,43.62,78.49,14.82,118.72,84.52,105.59,120.71,117.91,87.78,108.49
2017-04-28,238.08,139.06,135.99,53.58,51.86,40.06,63.8,44.56,78.93,14.43,120.77,84.62,106.6,122.35,118.99,88.12,109.25
2017-05-31,241.44,136.32,141.29,56.21,53.29,41.2,66.06,45.93,78.84,14.26,120.62,84.62,107.32,124.4,120.25,88.65,109.76
2017-06-30,241.8,140.92,137.64,55.14,53.65,41.39,65.2,45.59,79.77,14.02,118.02,84.49,106.61,125.12,120.51,88.39,109.51
2017-07-31,246.77,141.51,143.23,56.7,54.76,43.8,66.93,47.19,80.66,14.61,120.75,84.58,106.85,124.04,121.11,88.91,109.65
2017-08-31,247.49,139.73,146.2,56.74,54.71,44.83,66.9,47.39,81.2,14.46,125.82,84.68,108.24,127.99,121.61,88.6,110.45
2017-09-29,251.23,148.18,145.45,58.33,55.71,44.81,68.48,48.35,79.88,14.9,121.58,84.45,106.52,124.76,121.23,88.76,109.59
2017-10-31,257.15,149.26,152.15,58.6,58.65,46.28,69.63,49.28,79.92,15.48,120.67,84.3,106.16,124.46,121.14,88.47,109.47
2017-11-30,265.01,153.65,155.15,58.57,59.91,46.1,70.11,49.49,81.97,15.68,121.1,84.04,105.7,125.12,120.67,87.78,109.08
2017-12-29,266.86,152.46,155.76,59.15,59.93,47.12,70.31,49.95,81.01,16.28,123.65,83.85,105.57,126.86,121.56,87.26,109.33
2018-01-31,281.9,156.36,169.4,62.48,62.94,51.03,73.84,52.68,78.56,16.89,127.65,83.61,103.3,122.73,120.07,87.3,108.1
2018-02-28,271.65,150.35,167.21,58.64,61.07,48.02,70.27,50.02,73.33,16.27,125.0,83.44,102.17,118.75,117.07,86.18,106.77
2018-03-30,263.15,151.83,160.13,58.15,60.68,48.28,69.68,49.69,75.47,16.65,125.79,83.56,103.19,121.9,117.39,85.64,107.25
2018-04-30,264.51,153.32,160.94,59.4,60.64,46.92,70.74,49.97,75.64,17.42,124.59,83.27,101.7,119.1,115.22,85.7,106.0
2018-05-31,270.94,162.77,170.07,57.96,59.74,45.69,69.4,49.04,78.19,17.69,123.1,83.46,102.51,121.22,115.49,85.38,106.46
2018-06-29,271.28,163.77,171.65,56.13,57.91,43.33,66.97,47.25,80.58,17.91,118.65,83.37,102.51,121.72,114.57,85.08,106.32
2018-07-31,281.33,165.87,176.45,58.04,58.53,44.86,68.88,48.6,81.25,17.26,115.99,83.19,101.78,119.7,115.76,86.12,106.06
2018-08-31,290.31,173.02,186.65,56.4,58.22,43.17,67.34,47.48,83.18,17.44,113.51,83.34,102.61,120.995,115.44,86.36,106.41
2018-09-28,290.72,168.55,185.79,56.22,60.23,42.92,67.99,47.69,80.02,18.11,112.76,83.09,101.17,117.27,114.93,86.44,105.52
2018-10-31,270.63,150.03,169.82,51.78,54.84,39.16,62.46,43.89,78.11,16.99,115.15,83.08,100.66,113.58,112.23,84.35,104.59
2018-11-30,275.65,152.62,169.37,51.43,55.34,41.08,62.77,44.52,81.78,15.11,115.54,83.25,101.78,115.33,111.46,83.6,104.88
2018-12-31,249.92,133.9,154.26,48.62,50.69,39.06,58.78,41.96,74.94,14.02,121.25,83.62,104.2,121.51,112.82,81.1,106.49
2019-01-31,269.93,149.06,168.16,51.87,54.28,43.1,62.68,45.12,83.54,15.19,124.75,83.83,104.88,121.97,116.62,85.11,107.46
2019-02-28,278.68,156.78,173.19,53.51,54.36,42.44,64.27,45.83,84.15,15.72,123.99,83.75,104.11,120.02,116.03,85.75,107.07
2019-03-29,282.48,153.09,179.66,53.61,54.72,42.92,64.86,46.27,87.04,15.95,122.01,84.12,106.67,126.44,119.06,86.47,109.07
2019-04-30,294.02,158.29,189.54,55.71,55.42,43.93,66.76,47.57,87.0,16.39,121.2,84.11,105.9,123.65,119.22,86.94,108.59
2019-05-31,275.27,145.86,173.95,52.55,52.72,40.71,63.4,44.9,86.87,15.01,123.33,84.56,108.91,131.83,120.83,84.9,110.4
2019-06-28,293.0,155.5,186.74,54.9,54.58,42.91,65.73,46.76,87.31,15.65,133.2,84.78,110.02,132.81,124.37,87.18,111.35
2019-07-31,297.43,156.56,191.1,53.47,54.35,41.77,64.45,45.95,89.39,15.58,133.21,84.57,109.87,132.89,124.33,86.93,111.3
2019-08-30,292.45,148.84,187.47,52.59,53.92,40.19,63.21,44.85,92.46,14.82,143.75,85.08,114.01,147.28,128.8,87.16,114.13
2019-09-30,296.77,151.34,188.81,53.61,56.74,40.87,65.21,46.05,93.54,15.05,138.87,84.82,112.47,143.08,127.48,87.17,113.17
2019-10-31,303.33,155.45,197.08,55.67,58.68,42.58,67.42,47.47,94.26,15.17,142.43,84.95,112.51,141.24,127.71,86.81,113.15
